2026-03-31T19:55:14.697408+00:00 | bettydonald6908#0 | 900367490289401907 | Spectra | suspicious=False
2026-03-31T19:57:07.733579+00:00 | mideconsults#0 | 1478588229929406637 | Spectra | suspicious=False
2026-03-31T19:57:49.439759+00:00 | kenleylewis_55078#0 | 1214776638584393738 | Flare Network | suspicious=False
2026-03-31T19:59:14.134995+00:00 | ramaaluukkaa#0 | 1488622283479191643 | SUPPORT TICKET | suspicious=True
2026-03-31T20:01:06.037950+00:00 | ipipionier#0 | 1452360284055404878 | Flare Network | suspicious=False
2026-03-31T20:02:46.333072+00:00 | ramaaluukkaa#0 | 1488622283479191643 | SUPPORT TICKET | suspicious=True
2026-03-31T20:29:07.029486+00:00 | hctawrevo_#0 | 1460849138903023897 | Spectra | suspicious=False
2026-03-31T20:31:58.113366+00:00 | frank4508514#0 | 893942575134826506 | Upshift Finance | suspicious=False
2026-03-31T20:33:19.007077+00:00 | samginger4602#0 | 519111378246565888 | Flare Network | suspicious=False
2026-03-31T20:34:16.874575+00:00 | darkvoid1813#0 | 1007411642704875630 | Flare Network | suspicious=False
2026-03-31T20:46:30.540767+00:00 | dolly026269#0 | 1488579363984249044 | Spectra | suspicious=True
2026-03-31T20:47:35.618134+00:00 | la_roussequille#0 | 1025873813264678992 | Flare Network | suspicious=False
2026-03-31T20:50:12.625467+00:00 | sarrmz#0 | 523214541236994072 | SUPPORT TICKET | suspicious=False
2026-03-31T20:52:11.452038+00:00 | diandyn#0 | 1268141036824166452 | SUPPORT TICKET | suspicious=False
2026-03-31T20:52:21.017971+00:00 | alexdaje32#0 | 1488635474728849531 | SUPPORT TICKET | suspicious=True
2026-03-31T20:55:05.171169+00:00 | gregjc26#0 | 1135420352814665788 | SUPPORT TICKET | suspicious=False
2026-03-31T20:55:26.043431+00:00 | crypto2323._11455#0 | 1313882550950957087 | Upshift Finance | suspicious=False
2026-03-31T20:59:53.290093+00:00 | carl62726#0 | 1481194582031994930 | StakeWise | suspicious=False
2026-03-31T21:07:02.746858+00:00 | shile074#0 | 1488153125016698891 | OpenEden | suspicious=True
2026-03-31T21:07:59.286347+00:00 | alphashot0712#0 | 1257366198400847904 | Ēnosys | suspicious=False
2026-03-31T21:20:37.663914+00:00 | gregjc26#0 | 1135420352814665788 | SUPPORT TICKET | suspicious=False
2026-03-31T21:23:51.446314+00:00 | halilks.#0 | 712801831461584966 | SUPPORT TICKET | suspicious=False
2026-03-31T21:25:40.859753+00:00 | hctawrevo_#0 | 1460849138903023897 | YieldFi | suspicious=False
2026-03-31T21:26:18.385289+00:00 | liam028585#0 | 1442622314960261251 | ethereum.org | suspicious=False
2026-03-31T21:26:25.865363+00:00 | eddiepalms#0 | 1488572190260465726 | StakeWise | suspicious=True
2026-03-31T21:27:06.557798+00:00 | carl62726#0 | 1481194582031994930 | Spectra | suspicious=False
